Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
gen th_factual_qa: 383 chars
gen th_news: 400 chars
gen th_legal: 373 chars
gen th_medical: 389 chars
gen th_education: 373 chars
gen th_business: 392 chars
gen th_travel: 368 chars
gen th_math: 384 chars
gen en_econ: 1032 chars
gen en_science: 998 chars
gen code_python: 645 chars
gen th_en_translate: 426 chars
tf th 0: 1786 tokens
tf th 1: 1387 tokens
tf th 2: 1728 tokens
tf th 3: 1678 tokens
tf th 4: 1788 tokens
tf th 5: 1592 tokens
tf th 6: 1859 tokens
tf th 7: 1471 tokens
tf th 8: 1737 tokens
tf th 9: 1613 tokens
tf th 10: 1699 tokens
tf th 11: 1615 tokens
tf th 12: 1384 tokens
tf th 13: 1483 tokens
tf th 14: 1688 tokens
tf th 15: 1361 tokens
tf th 16: 1212 tokens
tf th 17: 1873 tokens
tf th 18: 1745 tokens
tf th 19: 1745 tokens
tf en 0: 747 tokens
tf en 1: 645 tokens
tf en 2: 722 tokens
tf en 3: 648 tokens
tf en 4: 733 tokens
tf en 5: 704 tokens
tf en 6: 633 tokens
tf en 7: 756 tokens
tf en 8: 686 tokens
tf en 9: 650 tokens
tf en 10: 651 tokens
tf en 11: 675 tokens
tf en 12: 730 tokens
tf en 13: 674 tokens
tf en 14: 645 tokens
tf en 15: 783 tokens
tf en 16: 744 tokens
tf en 17: 688 tokens
tf en 18: 706 tokens
tf en 19: 648 tokens
wrote /home/agicafet/Documents/ThaiLLM_Quantization/results/otg7b_gate_w4a16/nvfp4/usecases.json (1.9 MB)
